ID,Section,Testcase name,Sub-case,Pre-condition,Step,Expected output,Priority,Data Ref
TC_001,KB-1 / BR-DB-001,[FUNC] Xem biểu đồ HA,Happy path - Week view,"1. C01 đã kết nối P01 2. Permission #1 = ON 3. P01 có data 7 ngày","1. C01 chọn P01 từ Profile Switcher 2. Xem Block ""Xu hướng huyết áp""","2.1. Hiển thị Line Chart với 2 đường: Tâm thu (xanh lá #2BB89A), Tâm trương (xanh dương #3B82F6) 2.2. Toggle mặc định = ""Tuần"" 2.3. Chip filter = ""Tất cả"" 2.4. Trục X = dd/MM (7 ngày) 2.5. Trục Y = mmHg (range 70-140)",P0,"TD_001-008: Sys 120-135, Dia 78-88, 7 ngày liên tiếp"
TC_002,KB-1 / BR-DB-001,[FUNC] Xem biểu đồ HA,Month view,"1. C01 đã chọn P01 2. Đang ở Week view","1. Tap toggle ""Tháng"" 2. Xem chart","2.1. Chart reload với data 30 ngày 2.2. Chip reset về ""Tất cả"" 2.3. Trục X = dd/MM (spread 30 ngày)",P0,DC_003: P01 30 ngày data
TC_003,KB-2 / BR-DB-006,[FUNC] Xem chi tiết ngày,Drill-down to hour,"1. Đang xem chart Tuần 2. Chip ""Tất cả"" active","1. Tap chip ""03/02"" 2. Xem chart","2.1. Chart chuyển sang Hour view 2.2. Trục X = HH:00 (24h format) 2.3. Hiển thị tất cả lần đo trong ngày 03/02 2.4. Chip ""03/02"" active (highlight)",P0,"TD_024: Chip ""03/02"""
TC_004,KB-3 / BR-DB-003,[FUNC] Quay lại overview,"Tap ""Tất cả""",1. Đang xem Hour view ngày 03/02,"1. Tap chip ""Tất cả"" 2. Xem chart","2.1. Chart quay lại Overview mode 2.2. Trục X = dd/MM 2.3. Chip ""Tất cả"" active",P0,-
TC_005,KB-4 / BR-DB-002,[FUNC] Đổi filter,Tuần → Tháng,1. Đang xem Week view,"1. Tap toggle ""Tháng""","1.1. Chart reload với 30 ngày 1.2. Chip reset về ""Tất cả""",P0,"TD_021: Filter ""Tháng"""
TC_006,KB-4 / BR-DB-002,[FUNC] Đổi filter,Tháng → Tuần,1. Đang xem Month view,"1. Tap toggle ""Tuần""","1.1. Chart reload với 7 ngày 1.2. Chip reset về ""Tất cả""",P0,"TD_020: Filter ""Tuần"""
TC_007,KB-5 / BR-DB-002,[FUNC] Auto-fallback,Tuần empty → Tháng,"1. C01 chọn P02 2. P02 không có data tuần, có data tháng",1. Xem Block HA 2. Check default toggle,"2.1. Toggle tự động chọn ""Tháng"" 2.2. Hiển thị data tháng (4 điểm) 2.3. KHÔNG hiển thị empty state",P0,"TD_022, DC_004: P02 no week data"
TC_008,KB-6 / BR-DB-005,[FUNC] Tooltip,Tap data point,1. Đang xem chart có data,1. Tap vào 1 điểm dữ liệu,"1.1. Hiển thị tooltip: ""T2, 03/02: 128/83 mmHg"" 1.2. Format: ""Thứ, dd/MM: XXX/YY mmHg""",P1,"TD_001: Sys 128, Dia 83, date 03/02"
TC_009,KB-6 / BR-DB-005,[UI] Tooltip,Dismiss tooltip,1. Tooltip đang hiển thị,1. Tap outside tooltip,1. Tooltip đóng lại,P2,-
TC_010,KB-14 / BR-DB-004,[FUNC] Average,Nhiều lần đo/ngày,1. C01 chọn P04 2. P04 có 4 lần đo ngày 03/02,1. Xem chart Week view 2. Check điểm ngày 03/02,"2.1. Hiển thị 1 điểm (average) 2.2. Sys = 131 mmHg ((130+142+128+125)/4) 2.3. Dia = 84 mmHg ((85+90+82+80)/4)",P1,"DC_010: 4 readings: 130,142,128,125 / 85,90,82,80"
TC_011,KB-14 / BR-DB-004,[FUNC] Average,2 lần đo/ngày,1. P04 có 2 lần đo ngày 02/02,"1. Tap chip ""02/02"" 2. Xem Hour view","2.1. Hiển thị 2 điểm riêng biệt (07:00 và 19:00) 2.2. Point 1: 132/84 2.3. Point 2: 138/88",P1,"DC_011: 2 readings: 132,138 / 84,88"
TC_012,KB-14 / BR-DB-004,[FUNC] Average,1 lần đo/ngày,1. P01 có 1 lần đo ngày 01/02,1. Check điểm ngày 01/02,"1.1. Hiển thị 128/82 (no average, direct value)",P1,DC_012: 1 reading: 128/82
TC_013,KB-7 / BR-RPT-001,[FUNC] Danh sách báo cáo,Hiển thị block,1. P01 có 5 báo cáo (2 unread),"1. Xem Dashboard 2. Check Block ""Báo cáo sức khỏe""","2.1. Hiển thị tối đa 3 báo cáo chưa đọc mới nhất 2.2. Badge đỏ = ""2"" 2.3. Button ""Xem thêm""",P1,"TD_033-036: 5 reports, 2 unread"
TC_014,KB-7 / BR-RPT-001,[FUNC] Danh sách báo cáo,Nhiều unread,1. P06 có 10 unread reports,1. Xem Dashboard 2. Check Block,"2.1. Hiển thị 3 báo cáo mới nhất 2.2. Text: ""Còn 7 báo cáo khác chưa đọc"" 2.3. Badge = ""10""",P1,"TD_037, DC_014: 10+ unread"
