ID,Section,Testcase name,Sub-case,Pre-condition,Step,Expected output,Priority,Test Data
TC_001,KB-6 / BR-011,[ERR] OCR không nhận diện - Ảnh mờ,Error handling,"1. User upload ảnh phiếu mờ/tối","1. Chờ AI phân tích","1.1. Hiển thị: ""Không nhận diện được kết quả tái khám từ ảnh""; 1.2. Nút ""Thử lại"" hiển thị",High,"TD_032: Ảnh mờ/tối, 1 trang"
TC_002,KB-6 / BR-011,[ERR] OCR không nhận diện - Không phải phiếu XN,Error handling,"1. User upload ảnh selfie","1. Chờ AI phân tích","1.1. Hiển thị: ""Không nhận diện được kết quả tái khám từ ảnh""; 1.2. Nút ""Thử lại""",High,"TD_036: Ảnh selfie/không hợp lệ"
TC_003,KB-7 / BR-012,[FUNC] Multi-page - Tất cả hợp lệ,Multi-page OCR,"1. User upload 3 ảnh phiếu XN","1. Chờ AI phân tích; 2. Xem kết quả","2.1. Ghi chú: ""Đã phân tích 3/3 trang""",Medium,"TD_031: 3 ảnh phiếu XN rõ nét"
TC_004,KB-7 / BR-013,[EDGE] Multi-page có siêu âm,Mixed content,"1. User upload 2 XN + 1 siêu âm","1. Chờ AI; 2. Xem kết quả","2.1. ""Đã phân tích 2/3 trang""; 2.2. ""Ảnh siêu âm/X-quang chưa được hỗ trợ trong phiên bản này""",Medium,"TD_035: 2 XN + 1 siêu âm"
TC_005,KB-7 / BR-013,[ERR] Upload ảnh siêu âm,Unsupported,"1. User upload 1 ảnh siêu âm","1. Chờ AI phân tích","1.1. Hiển thị: ""Ảnh siêu âm/X-quang chưa được hỗ trợ trong phiên bản này""",Medium,"TD_033: 1 ảnh siêu âm"
TC_006,KB-7 / BR-013,[ERR] Upload ảnh X-quang,Unsupported,"1. User upload 1 ảnh X-quang","1. Chờ AI phân tích","1.1. Hiển thị: ""Ảnh siêu âm/X-quang chưa được hỗ trợ trong phiên bản này""",Medium,"TD_034: 1 ảnh X-quang"
TC_007,KB-8 / BR-014,[ERR] Network timeout,Timeout > 15s,"1. Network delay > 15s","1. Chờ AI phân tích","1.1. Hiển thị: ""Không thể kết nối. Vui lòng kiểm tra mạng và thử lại""; 1.2. Nút ""Thử lại""",High,"TD_040: Network delay > 15s"
TC_008,KB-8 / BR-014,[EDGE] AI phân tích > 10s warning,Performance,"1. AI processing > 10s","1. Quan sát UI","1.1. Hiển thị: ""Đang xử lý, vui lòng đợi...""",Medium,"TD_043: Slow AI processing"
TC_009,KB-6 / BR-011,[OCR] Phiếu có watermark,OCR edge,"1. Phiếu có watermark ""BẢN SAO""","1. Chờ AI phân tích","1.1. OCR vẫn nhận diện hoặc hiển thị: ""Không nhận diện được kết quả tái khám từ ảnh""",Low,"TD_139: Phiếu có watermark"
TC_010,KB-6 / BR-011,[OCR] Phiếu bị cắt xén,OCR edge,"1. Phiếu crop mất header","1. Chờ AI phân tích","1.1. Phân tích được phần có data",Low,"TD_140: Phiếu bị crop"
TC_011,KB-1 / BR-001,[FUNC] Thông tin chung đầy đủ,Happy path,"1. AI đã phân tích xong","1. Xem section ""Thông tin chung""","1.1. Hiển thị: Ngày khám=15/01/2026, Chuyên khoa=Nội tiết, BS=Nguyễn Văn A, CSYT=BV Đại học Y",High,"TD_020: Đầy đủ 4 fields"
TC_012,KB-1 / BR-001,[FUNC] Thông tin chung - Thiếu Bác sĩ,Fallback,"1. Phiếu không có BS","1. Xem section","1.1. BS = ""Không có thông tin""",Medium,"TD_021: Thiếu field BS"
TC_013,KB-1 / BR-001,[FUNC] Thông tin chung - Thiếu Ngày khám,Fallback,"1. Phiếu không có ngày","1. Xem section","1.1. Ngày khám = ngày upload hiện tại",Medium,"TD_022: Thiếu field ngày"
TC_014,KB-1 / BR-001,[EDGE] Thông tin chung - Thiếu nhiều field,OCR fail,"1. Ảnh kém chất lượng","1. Xem section","1.1. Tất cả fields = ""Không có thông tin""",Medium,"TD_023: Thiếu tất cả fields"
TC_015,KB-1 / BR-001,[EDGE] Phiếu XN cũ (> 30 ngày),Data validation,"1. Phiếu cũ > 30 ngày","1. Xem section","1.1. Warning: ""Kết quả cũ hơn 30 ngày""",Low,"TD_137: Phiếu cũ > 30 ngày"
TC_016,- / BR-009,[FUNC] Disclaimer hiển thị,Mandatory,"1. Ở màn hình Kết quả","1. Scroll đến cuối","1.1. Disclaimer: ""ℹ️ Kết quả phân tích chỉ mang tính tham khảo, không thay thế chẩn đoán và tư vấn từ bác sĩ...""",High,"TD_082: Bất kỳ kết quả"
TC_017,KB-2 / BR-002,[UI] Scroll danh sách nhiều chỉ số,UI/UX,"1. Có 10+ chỉ số","1. Scroll xuống","1.1. Cards scroll mượt, không lag",Medium,"TD_133: 10+ chỉ số"
TC_018,KB-2.1 / BR-002,[FUNC] Phân loại Cải thiện,Trong ngưỡng + Cải thiện,"1. HbA1c: 7.5% → 6.8%","1. Xem card HbA1c","1.1. ✅ Cải thiện (xanh lá #10B981); 1.2. Nguồn: ""Theo ADA 2024""",High,"TD_001: HbA1c 6.8% (từ 7.5%), ngưỡng <7%"
TC_019,KB-2.2 / BR-002,[FUNC] Phân loại Duy trì tốt,Trong ngưỡng + Bình thường,"1. HbA1c: 6.4% → 6.5%","1. Xem card","1.1. 💚 Duy trì tốt (xanh dương #3B82F6)",High,"TD_002: HbA1c 6.5% (từ 6.4%), ngưỡng <7%"
TC_020,KB-2.3 / BR-002,[FUNC] Phân loại Cần chú ý - Xấu đi,Trong ngưỡng + Xấu,"1. HbA1c: 6.5% → 6.9%","1. Xem card","1.1. ⚠️ Cần chú ý (vàng cam #F59E0B); 1.2. Icon 💬 hiển thị",High,"TD_003: HbA1c 6.9% (từ 6.5%), ngưỡng <7%"
TC_021,KB-2.4 / BR-002,[FUNC] Cần chú ý - Ngoài ngưỡng cải thiện,Out + Better,"1. HbA1c: 7.8% → 7.2%","1. Xem card","1.1. ⚠️ Cần chú ý (có cải thiện); 1.2. Icon 💬 hiển thị",High,"TD_004: HbA1c 7.2% (từ 7.8%), ngưỡng <7%"
TC_022,KB-2.5 / BR-002,[FUNC] Cần chú ý - Ngoài ngưỡng xấu đi,Out + Worse,"1. HbA1c: 7.5% → 8.0%","1. Xem card","1.1. ⚠️ Cần chú ý",High,"TD_005: HbA1c 8.0% (từ 7.5%), ngưỡng <7%"
TC_023,KB-3 / BR-004,[EDGE] Không có lịch sử chỉ số,First time,"1. Không có history","1. Xem card","1.1. Dòng ""Lần trước: Chưa có""",Medium,"TD_006: HbA1c 6.8%, previous=null"
TC_024,KB-4 / BR-005,[EDGE] Chỉ số không có ngưỡng,Unknown,"1. Chỉ số XYZ mới","1. Xem card","1.1. ""Chưa có ngưỡng tham chiếu""; 1.2. ""Vui lòng tham khảo ý kiến bác sĩ""",Medium,"TD_070: Chỉ số XYZ=123, threshold=null"
TC_025,KB-2 / BR-002,[UI] Tap card → Expand details,UI/UX,"1. Ở màn hình Kết quả","1. Tap card HbA1c","1.1. Expand chi tiết chỉ số",Medium,"TD_134: Bất kỳ card chỉ số"
TC_026,KB-2 / BR-002,[DATA] Unit conversion,Data,"1. Glucose = 126 mg/dL","1. Xem card","1.1. Hiển thị cả mg/dL và mmol/L (7.0)",Medium,"TD_136: Glucose 126 mg/dL"
TC_027,KB-9 / BR-015,[EDGE] User không có hồ sơ,First-time,"1. User mới, không profile","1. Upload XN; 2. Xem KQ","2.1. Dùng ngưỡng quốc tế mặc định (ADA/WHO)",Medium,"TD_062: User không có profile"
TC_028,KB-9 / BR-015,[FUNC] User có hồ sơ Tiểu đường,Profile-based,"1. Profile: Tiểu đường","1. Upload XN; 2. Xem card","2.1. Ngưỡng HbA1c < 7% (ADA cá nhân hóa)",Medium,"TD_060: Profile Tiểu đường"
TC_029,KB-9 / BR-015,[FUNC] User có hồ sơ Người già,Profile-based,"1. User > 65 tuổi","1. Upload XN; 2. Xem card","2.1. Ngưỡng HbA1c < 8% (ADA Geriatric)",Medium,"TD_061: User age=70"
TC_030,KB-2 / BR-002,[EDGE] Ngưỡng Người già,Geriatric,"1. Age=70, HbA1c=7.5%","1. Xem card","1.1. ✅ Cải thiện (7.5% < 8%)",High,"TD_007: Age=70, HbA1c 7.5%, threshold <8%"
TC_031,KB-2 / BR-002,[EDGE] Ngưỡng Suy thận mạn,CKD,"1. CKD, eGFR=45","1. Xem card eGFR","1.1. 💚 Duy trì tốt (KDIGO)",High,"TD_010: CKD, eGFR 45"
TC_032,KB-2 / BR-002,[EDGE] Ngưỡng Sau đột quỵ,High-risk LDL,"1. Đột quỵ, LDL=1.3","1. Xem card LDL","1.1. ✅ Cải thiện (1.3 < 1.4 ESC)",High,"TD_014: Đột quỵ, LDL 1.3 mmol/L"
TC_033,KB-2 / BR-002,[BOUNDARY] LDL = 1.4 exactly,Boundary,"1. Đột quỵ, LDL=1.4","1. Xem card LDL","1.1. ⚠️ Cần chú ý (1.4 không < 1.4)",Medium,"TD_015: Đột quỵ, LDL 1.4 mmol/L"
TC_034,KB-2 / BR-002,[EDGE] Multi-disease: TĐ + THA,Priority,"1. TĐ + THA, HbA1c=7.0","1. Xem card","1.1. Ngưỡng strict < 7%",High,"TD_100: TĐ + THA, HbA1c 7.0%"
TC_035,KB-2 / BR-002,[EDGE] Multi-disease: TĐ + Người già,Priority,"1. TĐ + > 65, HbA1c=7.5","1. Xem card","1.1. Ưu tiên elderly < 8%",High,"TD_101: TĐ + >65 tuổi, HbA1c 7.5%"
TC_036,KB-2 / BR-002,[EDGE] Multi-disease: 3+ bệnh,Complex,"1. TĐ + THA + Già, HbA1c=7.8","1. Xem card","1.1. ✅ Cải thiện (elderly threshold)",High,"TD_102: 3 bệnh nền, HbA1c 7.8%"
TC_037,KB-7 / BR-012,[FUNC] Multi-page + Nhiều chỉ số,Multi-indicator,"1. 2 ảnh, 4+ chỉ số","1. AI phân tích; 2. Xem cards","2.1. 4 cards riêng biệt",High,"TD_130: 2 ảnh với 4+ chỉ số"
TC_038,KB-2 / BR-002,[FUNC] Mixed classification,Multi-indicator,"1. HbA1c tốt, LDL xấu, eGFR duy trì","1. Xem cards","1.1. 3 màu khác nhau; 1.2. LDL có icon 💬",High,"TD_131: Mixed, HbA1c tốt, LDL xấu"
TC_039,KB-7 / BR-012,[EDGE] Conflict - Same chỉ số,Conflict,"1. 2 ảnh có HbA1c khác giá trị","1. Xem card","1.1. Warning trùng lặp",Medium,"TD_132: 2 ảnh, HbA1c khác giá trị"
TC_040,KB-9 / BR-015,[EDGE] Mang thai + Glucose = 95,ACOG,"1. Mang thai, Glucose=95","1. Xem card","1.1. ⚠️ Cần chú ý (95 không < 95 ACOG)",High,"TD_110: Mang thai, Glucose 95 mg/dL"
TC_041,KB-9 / BR-015,[EDGE] Mang thai + BP cao,Pre-eclampsia,"1. Mang thai, BP=145/95","1. Xem card","1.1. ⚠️ Cần chú ý; 1.2. Cảnh báo tiền sản giật",High,"TD_111: Mang thai, BP 145/95"
TC_042,KB-9 / BR-015,[BOUNDARY] Glucose trong ngưỡng,Under,"1. Mang thai, Glucose=94","1. Xem card","1.1. 💚 Duy trì tốt",Medium,"TD_113: Mang thai, Glucose 94 mg/dL"
TC_043,KB-9 / BR-015,[BOUNDARY] Glucose ngoài ngưỡng,Over,"1. Mang thai, Glucose=96","1. Xem card","1.1. ⚠️ Cần chú ý",Medium,"TD_114: Mang thai, Glucose 96 mg/dL"
TC_044,KB-2 / BR-002,[EDGE] Viêm gan B - Undetectable,AASLD,"1. HepB, HBV-DNA=Undetect","1. Xem card","1.1. ✅ Cải thiện; 1.2. Đạt ngưỡng điều trị",High,"TD_120: HepB, HBV-DNA Undetectable"
TC_045,- / BR-007,[SAFETY] AI không khuyến nghị liều,Compliance,"1. Phiếu có đơn thuốc","1. Xem kết quả","1.1. Chỉ hiển thị OCR đơn thuốc; 1.2. KHÔNG có text ""nên uống X mg""",High,"TD_080: Phiếu có đơn thuốc Metformin 500mg"
